"","ASV","Metabolite","Corr.r"
"158","ASV-61","Feature 90",-0.939330372732485
"159","ASV-1567","Feature 90",-0.937959556464711
"160","ASV-61","Feature 91",-0.924421546270745
"161","ASV-1567","Feature 91",-0.920253520446759
"162","ASV-61","Feature 96",-0.932047764608551
"163","ASV-1567","Feature 96",-0.918020123400633
"164","ASV-749","Glycerate",0.876436807541197
"165","ASV-795","Glycerate",0.876436807541197
"166","ASV-1575","Glycerate",0.876436807541197
"167","ASV-2783","Glycerate",0.876436807541197
"168","ASV-1394","Glycerate",0.876436807541197
"169","ASV-1808","Glycerate",0.876436807541197
"170","ASV-1101","Glycerate",0.876436807541197
"171","ASV-3160","Glycerate",0.876436807541197
"172","ASV-3031","Glycerate",0.876436807541197
"173","ASV-3117","Glycerate",0.876436807541197
"174","ASV-1164","Glycerate",0.876436807541197
"175","ASV-835","Glycerate",0.876436807541197
"176","ASV-3094","Glycerate",0.876436807541197
"177","ASV-3057","Glycerate",0.876436807541197
"178","ASV-3166","Glycerate",0.876436807541197
"179","ASV-2691","Glycerate",0.876436807541197
"180","ASV-3155","Glycerate",0.876436807541197
"181","ASV-2144","Glycerate",0.876436807541197
"182","ASV-3454","Glycerate",0.876436807541197
"183","ASV-698","Glycerate",0.876436807541197
"184","ASV-826","Glycerate",0.876436807541197
"185","ASV-3268","Glycerate",0.876436807541197
"186","ASV-1079","Glycerate",0.876436807541197
"187","ASV-1473","Glycerate",0.876436807541197
"188","ASV-3330","Glycerate",0.876436807541197
"189","ASV-970","Glycerate",0.876436807541197
"190","ASV-1041","Glycerate",0.876436807541197
"191","ASV-682","Glycerate",0.876436807541197
"192","ASV-753","Glycerate",0.876436807541197
"193","ASV-3383","Glycerate",0.876436807541197
"194","ASV-725","Glycerate",0.876436807541197
"195","ASV-2053","Glycerate",0.876436807541197
"196","ASV-3556","Glycerate",0.876436807541197
"197","ASV-1358","Glycerate",0.876436807541197
"198","ASV-683","Glycerate",0.876436807541197
"199","ASV-774","Glycerate",0.876436807541197
"200","ASV-202","Glycerate",0.876436807541197
"201","ASV-2739","Glycerate",0.876436807541197
"202","ASV-1914","Glycerate",0.876436807541197
"203","ASV-1121","Glycerate",0.876436807541197
"204","ASV-1546","Glycerate",0.876436807541197
"205","ASV-885","Glycerate",0.876436807541197
"206","ASV-1176","Glycerate",0.876436807541197
"207","ASV-147","Glycerate",0.876436807541197
"208","ASV-1525","Glycerate",0.876436807541197
"209","ASV-2061","Glycerate",0.876436807541197
"210","ASV-728","Glycerate",0.876436807541197
"211","ASV-379","Glycerate",0.876436807541197
"212","ASV-777","Glycerate",0.876436807541197
"213","ASV-3271","Glycerate",0.876436807541197
"214","ASV-758","Glycerate",0.876436807541197
"215","ASV-2077","Glycerate",0.876436807541197
"216","ASV-3286","Glycerate",0.876436807541197
"217","ASV-1115","Glycerate",0.876436807541197
"218","ASV-2389","Glycerate",0.876436807541197
"219","ASV-457","Glycerate",0.876436807541197
"220","ASV-3475","Glycerate",0.876436807541197
"221","ASV-3339","Glycerate",0.876436807541197
"222","ASV-1426","Glycerate",0.876436807541197
"223","ASV-1691","Glycerate",0.876436807541197
"224","ASV-680","Glycerate",0.876436807541197
"225","ASV-2762","Glycerate",0.876436807541197
"226","ASV-609","Glycerate",0.876436807541197
"227","ASV-3569","Glycerate",0.876436807541197
"228","ASV-3082","Glycerate",0.876436807541197
"229","ASV-3088","Glycerate",0.876436807541197
"230","ASV-3074","Glycerate",0.876436807541197
"231","ASV-984","Glycerate",0.876436807541197
"232","ASV-895","Glycerate",0.876436807541197
"233","ASV-2509","Glycerate",0.876436807541197
"234","ASV-398","Glycerate",0.876436807541197
"235","ASV-285","Glycerate",0.876436807541197
"236","ASV-61","Homoarginine",0.900422756785088
"237","ASV-1567","Homoarginine",0.885055953991989
"238","ASV-3113","N-acetyl-glutamine",-0.863572759237684
"239","ASV-290","N-acetyl-glutamine",-0.871629101688619
"240","ASV-1567","N-acetyl-glutamine",-0.864832370925356
"241","ASV-1567","NADPH",0.864040791176024
"242","ASV-61","NG-dimethyl-L-arginine",0.891806308930232
"243","ASV-1567","NG-dimethyl-L-arginine",0.863830563689913
"244","ASV-61","Ornithine",0.942604243510405
"245","ASV-1567","Ornithine",0.927854641686453
