"","ASV","Metabolite","Corr.r","Phylum","Class","Order","Family","Genus","Species"
"48","ASV-3475","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Tistlia","Tistlia marine_metagenome"
"49","ASV-3556","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified Rhodobacteraceae","Unclassified Rhodobacteraceae"
"50","ASV-3569","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria","Tateyamaria uncultured_Alphaproteobacteria"
"51","ASV-379","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Unclassified Cellvibrionaceae","Unclassified Cellvibrionaceae"
"52","ASV-398","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria"
"53","ASV-457","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Kangiellaceae","Aliikangiella","Unclassified  Aliikangiella"
"54","ASV-609","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","UBA10353_marine_group","UBA10353_marine_group","UBA10353_marine_group uncultured_bacterium"
"55","ASV-680","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","OM27_clade uncultured_proteobacterium"
"56","ASV-682","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","OM27_clade uncultured_organism"
"57","ASV-683","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","OM27_clade uncultured_organism"
"58","ASV-698","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","OM27_clade uncultured_bacterium"
"59","ASV-725","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio uncultured_marine"
"60","ASV-728","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio uncultured_bacterium"
"61","ASV-749","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Peredibacter uncultured_bacterium"
"62","ASV-753","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Unclassified  Peredibacter"
"63","ASV-758","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Peredibacter uncultured_Peredibacter"
"64","ASV-774","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Halobacteriovorax","Halobacteriovorax Bacteriovorax_sp."
"65","ASV-777","Glycerate",0.876436807541197,"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Halobacteriovorax","Halobacteriovorax uncultured_phototrophic"
"66","ASV-795","Glycerate",0.876436807541197,"Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","Unclassified  P3OB-42"
"67","ASV-826","Glycerate",0.876436807541197,"Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","Unclassified  P3OB-42"
"68","ASV-835","Glycerate",0.876436807541197,"Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41","BIrii41 uncultured_Polyangiaceae"
"69","ASV-885","Glycerate",0.876436807541197,"Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadales","Bradymonadales","Unclassified  Bradymonadales"
"70","ASV-895","Glycerate",0.876436807541197,"Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadales","Bradymonadales","Bradymonadales uncultured_marine"
"71","ASV-970","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","uncultured","Unclassified  uncultured"
"72","ASV-984","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","37-13","37-13","37-13 uncultured_Bacteroidetes"
