"","ASV","Metabolite","Corr.r","Phylum","Class","Order","Family","Genus","Species"
"47","ASV-1567","Arginine",0.936308413218384,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"48","ASV-1567","Feature 11",0.944400517684683,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"49","ASV-1567","Feature 25",0.863438364758639,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"50","ASV-1567","Feature 137",-0.965359647070433,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"51","ASV-1567","Feature 51",-0.884769264438238,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"52","ASV-1567","Feature 35",0.936108048330445,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"53","ASV-1567","Feature 15",0.924772827454901,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"54","ASV-1567","Feature 127",-0.968329313538643,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"55","ASV-1567","Feature 36",0.868223193630909,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"56","ASV-1567","Feature 128",-0.914317199120313,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"57","ASV-1567","Feature 13",0.877380765637574,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"58","ASV-1567","Feature 40",0.885055953991989,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"59","ASV-1567","4-Guanidinobutanoic acid",0.935350698306545,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"60","ASV-1567","Feature 57",0.932835740080059,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"61","ASV-1567","Feature 106",-0.939773097650199,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"62","ASV-1567","Feature 140",-0.906539061466498,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"63","ASV-1567","Feature 58",0.928568487039783,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"64","ASV-1567","Ornithine",0.927854641686453,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"65","ASV-1567","Feature 9",0.955700058701661,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"66","ASV-1567","Feature 89",0.927747878205616,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"67","ASV-1567","Feature 61",0.934386886647038,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"68","ASV-1567","N-acetyl-glutamine",-0.864832370925356,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"69","ASV-1567","Feature 109",-0.963156154831654,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"70","ASV-1567","Feature 17",0.939580023491864,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"71","ASV-1567","Feature 101",-0.975107103784453,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"72","ASV-1567","Feature 65",0.880303188141253,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"73","ASV-1567","Feature 19",-0.870188093630625,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"74","ASV-1567","Feature 96",-0.918020123400633,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"75","ASV-1567","Feature 8",0.923915137617942,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"76","ASV-1567","Feature 43",0.863954861036205,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"77","ASV-1567","Homoarginine",0.885055953991989,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"78","ASV-1567","Feature 91",-0.920253520446759,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"79","ASV-1567","Feature 90",-0.937959556464711,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"80","ASV-1567","Feature 37",0.938964457153716,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"81","ASV-1567","NG-dimethyl-L-arginine",0.863830563689913,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"82","ASV-1567","Feature 133",-0.941140225376136,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"83","ASV-1567","NADPH",0.864040791176024,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"84","ASV-1567","Feature 42",0.942372468027469,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"85","ASV-1575","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","Candidatus_Amoebophilus Dictyostelium_polycephalum"
"86","ASV-1691","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella","Reichenbachiella uncultured_Flammeovirgaceae"
"87","ASV-1808","Glycerate",0.876436807541197,"Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49","Unclassified  vadinHA49"
"88","ASV-1914","Glycerate",0.876436807541197,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula uncultured_bacterium"
"89","ASV-202","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae","Alteromonadaceae uncultured_gamma"
"90","ASV-2053","Glycerate",0.876436807541197,"Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia","Fuerstia uncultured_Planctomyces"
"91","ASV-2061","Glycerate",0.876436807541197,"Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","uncultured","uncultured uncultured_bacterium"
"92","ASV-2077","Glycerate",0.876436807541197,"Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","BD7-11 uncultured_bacterium"
"93","ASV-2144","Glycerate",0.876436807541197,"Planctomycetota","028H05-P-BN-P5","028H05-P-BN-P5","028H05-P-BN-P5","028H05-P-BN-P5","028H05-P-BN-P5 uncultured_bacterium"
"94","ASV-2389","Glycerate",0.876436807541197,"Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured","Unclassified  uncultured"
"95","ASV-2509","Glycerate",0.876436807541197,"Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita","Unclassified  Coraliomargarita"
"96","ASV-2691","Glycerate",0.876436807541197,"Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","MBIC10086","MBIC10086 Pseudanabaena_cf."
"97","ASV-2739","Glycerate",0.876436807541197,"Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1) uncultured_Epsilonproteobacteria"
"98","ASV-2762","Glycerate",0.876436807541197,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","Unclassified  Dialister"
"99","ASV-2783","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured","uncultured uncultured_marine"
"100","ASV-285","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"101","ASV-290","Feature 53",0.856154946221516,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"102","ASV-290","Feature 118",-0.866529824746215,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"103","ASV-290","Feature 138",-0.861718188892672,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"104","ASV-290","Feature 105",-0.855827935574621,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"105","ASV-290","Feature 127",-0.863401230189357,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"106","ASV-290","Feature 56",-0.856961687008407,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"107","ASV-290","Feature 101",-0.870895713261942,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"108","ASV-290","Feature 106",-0.854614957447969,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"109","ASV-290","Feature 102",-0.868251175207659,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"110","ASV-290","Feature 112",-0.873211874971347,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"111","ASV-290","Feature 139",-0.863934621347545,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"112","ASV-290","Feature 137",-0.864829730615883,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"113","ASV-290","Feature 108",-0.867607167431178,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"114","ASV-290","Feature 126",-0.870176632039472,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"115","ASV-290","N-acetyl-glutamine",-0.871629101688619,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"116","ASV-290","Feature 109",-0.863488210040068,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"117","ASV-290","Feature 107",-0.861067737718893,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"118","ASV-3031","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria"
"119","ASV-3057","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_organism"
"120","ASV-3074","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","SM2D12","SM2D12 uncultured_organism"
"121","ASV-3082","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"122","ASV-3088","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"123","ASV-3094","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"124","ASV-3113","Feature 53",0.85246022656073,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"125","ASV-3113","Feature 127",-0.863253290024914,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"126","ASV-3113","Feature 112",-0.872491516309815,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"127","ASV-3113","Feature 138",-0.861982379328912,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"128","ASV-3113","Feature 56",-0.857379250958684,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"129","ASV-3113","Feature 101",-0.870632330013657,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"130","ASV-3113","Feature 105",-0.854863284308879,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"131","ASV-3113","Feature 102",-0.867968531823999,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"132","ASV-3113","Feature 139",-0.863867977988538,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"133","ASV-3113","Feature 126",-0.870085039698313,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"134","ASV-3113","Feature 106",-0.853156673852746,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"135","ASV-3113","Feature 118",-0.866061752165524,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"136","ASV-3113","Feature 107",-0.860412998331879,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"137","ASV-3113","Feature 137",-0.864360862237644,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"138","ASV-3113","N-acetyl-glutamine",-0.863572759237684,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"139","ASV-3113","Feature 108",-0.86714823545213,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"140","ASV-3113","Feature 109",-0.86297054501893,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"141","ASV-3117","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured unidentified_marine"
"142","ASV-3155","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"143","ASV-3160","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured","uncultured","uncultured uncultured_bacterium"
"144","ASV-3166","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_organism"
"145","ASV-3268","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified  Sphingomonas"
"146","ASV-3271","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria"
"147","ASV-3286","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Unclassified Rhizobiales","Unclassified Rhizobiales","Unclassified Rhizobiales"
"148","ASV-3330","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Roseitalea","Roseitalea uncultured_bacterium"
"149","ASV-3337","Feature 126",-0.850535709589649,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia","Unclassified  Labrenzia"
"150","ASV-3337","Feature 112",-0.853091167877575,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia","Unclassified  Labrenzia"
"151","ASV-3337","Feature 101",-0.851126184392859,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia","Unclassified  Labrenzia"
"152","ASV-3339","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia","Unclassified  Labrenzia"
"153","ASV-3383","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Marinicaulis","Marinicaulis uncultured_bacterium"
"154","ASV-3454","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Unclassified Rickettsiales","Unclassified Rickettsiales","Unclassified Rickettsiales"
"155","ASV-3475","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Tistlia","Tistlia marine_metagenome"
"156","ASV-3556","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified Rhodobacteraceae","Unclassified Rhodobacteraceae"
"157","ASV-3569","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria","Tateyamaria uncultured_Alphaproteobacteria"
"158","ASV-379","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Unclassified Cellvibrionaceae","Unclassified Cellvibrionaceae"
"159","ASV-398","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria"
"160","ASV-457","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Kangiellaceae","Aliikangiella","Unclassified  Aliikangiella"
