Sample Name,% Dups,% GC,Length,M Seqs
WSH158_S116_L001_R1_001,95.70%,50%,250 bp,0
WSH158_S116_L001_R2_001,92.10%,50%,254 bp,0
WSH159_S128_L001_R1_001,94.50%,51%,255 bp,0
WSH159_S128_L001_R2_001,89.10%,51%,259 bp,0
WSH160_S140_L001_R1_001,92.10%,51%,263 bp,0.1
WSH160_S140_L001_R2_001,82.90%,49%,266 bp,0.1
WSH161_S152_L001_R1_001,93.20%,51%,256 bp,0.1
WSH161_S152_L001_R2_001,86.00%,51%,259 bp,0.1
WSH162_S164_L001_R1_001,94.60%,50%,252 bp,0.1
WSH162_S164_L001_R2_001,88.70%,50%,256 bp,0.1
WSH163_S176_L001_R1_001,95.10%,48%,246 bp,0
WSH163_S176_L001_R2_001,89.90%,49%,251 bp,0
WSH164_S188_L001_R1_001,94.00%,48%,243 bp,0
WSH164_S188_L001_R2_001,87.60%,48%,248 bp,0
WSH165_S105_L001_R1_001,94.90%,51%,247 bp,0
WSH165_S105_L001_R2_001,89.00%,51%,252 bp,0
WSH166_S117_L001_R1_001,94.70%,51%,253 bp,0
WSH166_S117_L001_R2_001,90.00%,51%,256 bp,0
WSH167_S129_L001_R1_001,94.20%,51%,263 bp,0
WSH167_S129_L001_R2_001,88.00%,51%,266 bp,0
WSH168_S141_L001_R1_001,89.10%,49%,258 bp,0
WSH168_S141_L001_R2_001,75.30%,49%,264 bp,0
WSH169_S153_L001_R1_001,93.60%,46%,237 bp,0
WSH169_S153_L001_R2_001,83.80%,46%,244 bp,0
WSH170_S165_L001_R1_001,94.40%,48%,253 bp,0.1
WSH170_S165_L001_R2_001,88.60%,48%,257 bp,0.1
WSH171_S177_L001_R1_001,93.90%,49%,254 bp,0.1
WSH171_S177_L001_R2_001,87.70%,49%,258 bp,0.1
WSH172_S189_L001_R1_001,95.90%,50%,249 bp,0.1
WSH172_S189_L001_R2_001,91.40%,50%,253 bp,0.1
WSH173_S106_L001_R1_001,91.70%,50%,247 bp,0
WSH173_S106_L001_R2_001,84.50%,50%,250 bp,0
