sample-id	forward-absolute-filepath	reverse-absolute-filepath
WSH139	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH139_S173_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH139_S173_L001_R2_001.fastq.gz
WSH140	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH140_S185_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH140_S185_L001_R2_001.fastq.gz
WSH141	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH141_S102_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH141_S102_L001_R2_001.fastq.gz
WSH142	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH142_S114_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH142_S114_L001_R2_001.fastq.gz
WSH143	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH143_S126_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH143_S126_L001_R2_001.fastq.gz
WSH144	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH144_S138_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH144_S138_L001_R2_001.fastq.gz
WSH145	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH145_S150_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH145_S150_L001_R2_001.fastq.gz
WSH146	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH146_S162_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH146_S162_L001_R2_001.fastq.gz
WSH147	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH147_S174_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH147_S174_L001_R2_001.fastq.gz
WSH148	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH148_S186_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH148_S186_L001_R2_001.fastq.gz
WSH149	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH149_S103_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH149_S103_L001_R2_001.fastq.gz
WSH150	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH150_S115_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH150_S115_L001_R2_001.fastq.gz
WSH151	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH151_S127_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH151_S127_L001_R2_001.fastq.gz
WSH152	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH152_S139_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH152_S139_L001_R2_001.fastq.gz
WSH153	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH153_S151_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH153_S151_L001_R2_001.fastq.gz
WSH154	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH154_S163_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH154_S163_L001_R2_001.fastq.gz
WSH155	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH155_S175_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH155_S175_L001_R2_001.fastq.gz
WSH156	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH156_S187_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH156_S187_L001_R2_001.fastq.gz
WSH157	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH157_S104_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH157_S104_L001_R2_001.fastq.gz
WSH158	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH158_S116_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH158_S116_L001_R2_001.fastq.gz
WSH159	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH159_S128_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH159_S128_L001_R2_001.fastq.gz
WSH160	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH160_S140_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH160_S140_L001_R2_001.fastq.gz
WSH161	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH161_S152_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH161_S152_L001_R2_001.fastq.gz
WSH162	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH162_S164_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH162_S164_L001_R2_001.fastq.gz
WSH163	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH163_S176_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH163_S176_L001_R2_001.fastq.gz
WSH164	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH164_S188_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH164_S188_L001_R2_001.fastq.gz
WSH165	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH165_S105_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH165_S105_L001_R2_001.fastq.gz
WSH166	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH166_S117_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH166_S117_L001_R2_001.fastq.gz
WSH167	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH167_S129_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH167_S129_L001_R2_001.fastq.gz
WSH168	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH168_S141_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH168_S141_L001_R2_001.fastq.gz
WSH169	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH169_S153_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH169_S153_L001_R2_001.fastq.gz
WSH170	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH170_S165_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH170_S165_L001_R2_001.fastq.gz
WSH171	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH171_S177_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH171_S177_L001_R2_001.fastq.gz
WSH172	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH172_S189_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH172_S189_L001_R2_001.fastq.gz
WSH173	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH173_S106_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH173_S106_L001_R2_001.fastq.gz
