Date,Sample.ID,Fragment.ID,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Fragment.Number,Sample.Type,Temp.Cat,Water.Height.cm,Chamber.Vol.L,Surf.Area.cm2,Start.Tme.Light,Stop.Time.Light,Start.Tme.Dark,Stop.Time.Dark,Notes,QC
20190830,R12,R12,NA,4,4,NA,4,P.astreoides,NA,Sample,Hot,23,,,11:58,12:20,12:23,12:42,,
20190830,BLANK4-HOT,BLANK4-HOT,NA,5,5,NA,4,P.astreoides,NA,Blank,Hot,23.7,,,11:58,12:20,12:23,12:42,,
20190830,BLANK4-AMB,BLANK4-AMB,NA,6,6,NA,4,P.astreoides,NA,Blank,Ambient,23.7,,,11:58,12:20,12:23,12:42,,
20190830,R14,R14,NA,7,7,NA,4,P.astreoides,NA,Sample,Ambient,22.8,,,11:58,12:20,12:23,12:42,,
20190830,R40,R40,NA,8,8,NA,4,P.astreoides,NA,Sample,Ambient,23,,,11:58,12:20,12:23,12:42,,
20190830,R10,R10,NA,9,9,NA,4,P.astreoides,NA,Sample,Ambient,23,,,11:58,12:20,12:23,12:42,,
20190830,R13,R13,NA,10,10,NA,4,P.astreoides,NA,Sample,Ambient,23.3,,,11:58,12:20,12:23,12:42,,
20190830,R11,R11,NA,1,1,NA,5,P.astreoides,NA,Sample,Hot,23.1,,,12:54,13:18,13:20,13:43,,
20190830,NA,NA,NA,2,2,NA,5,NA,NA,NA,NA,NA,,,,,,,,
20190830,NA,NA,NA,3,3,NA,5,NA,NA,NA,NA,NA,,,,,,,,
20190830,NA,NA,NA,4,4,NA,5,NA,NA,NA,NA,NA,,,,,,,,
20190830,BLANK5-HOT,BLANK5-HOT,NA,5,5,NA,5,P.astreoides,NA,Blank,Hot,23.7,,,12:54,13:18,13:20,13:43,,
20190830,BLANK5-AMB,BLANK5-AMB,NA,6,6,NA,5,P.astreoides,NA,Blank,Ambient,23.7,,,12:54,13:18,13:20,13:43,,
20190830,R22,R22,NA,7,7,NA,5,P.astreoides,NA,Sample,Ambient,22.7,,,12:54,13:18,13:20,13:43,,
20190830,R33,R33,NA,8,8,NA,5,P.astreoides,NA,Sample,Ambient,23.1,,,12:54,13:18,13:20,13:43,,
20190830,R39,R39,NA,9,9,NA,5,P.astreoides,NA,Sample,Ambient,23.2,,,12:54,13:18,13:20,13:43,,
20190830,R1,R1,NA,10,10,NA,5,P.astreoides,NA,Sample,Ambient,23,,,12:54,13:18,13:20,13:43,,
